problemName,problemLink,problemCode,problemDifficulty,contestName,contestLink
Dreamoon Likes Sequences,http://codeforces.com/contest/1330/problem/D,D,1700,"Codeforces Round #631 (Div. 2) - Thanks, Denis aramis Shitov!",http://codeforces.com/contest/1330
Walk on Matrix,http://codeforces.com/contest/1332/problem/D,D,1700,Codeforces Round #630 (Div. 2),http://codeforces.com/contest/1332
Ehab the Xorcist,http://codeforces.com/contest/1325/problem/D,D,1700,Codeforces Round #628 (Div. 2),http://codeforces.com/contest/1325
Happy New Year,http://codeforces.com/contest/1313/problem/D,D,2500,Codeforces Round #622 (Div. 2),http://codeforces.com/contest/1313
Shortest and Longest LIS,http://codeforces.com/contest/1304/problem/D,D,1800,Codeforces Round #620 (Div. 2),http://codeforces.com/contest/1304
Time to Run,http://codeforces.com/contest/1301/problem/D,D,2000,Codeforces Round #619 (Div. 2),http://codeforces.com/contest/1301
Aerodynamic,http://codeforces.com/contest/1300/problem/D,D,1800,Codeforces Round #618 (Div. 2),http://codeforces.com/contest/1300
Irreducible Anagrams,http://codeforces.com/contest/1291/problem/D,D,1800,Codeforces Round #616 (Div. 2),http://codeforces.com/contest/1291
Aroma's Search,http://codeforces.com/contest/1293/problem/D,D,1700,Codeforces Round #614 (Div. 2),http://codeforces.com/contest/1293
Dr,http://codeforces.com/contest/1285/problem/D,D,1900,Codeforces Round #613 (Div. 2),http://codeforces.com/contest/1285
Numbers on Tree,http://codeforces.com/contest/1287/problem/D,D,1800,Codeforces Round #612 (Div. 2),http://codeforces.com/contest/1287
Enchanted Artifact,http://codeforces.com/contest/1282/problem/D,D,2300,Codeforces Round #610 (Div. 2),http://codeforces.com/contest/1282
Domino for Young,http://codeforces.com/contest/1269/problem/D,D,2000,Codeforces Round #609 (Div. 2),http://codeforces.com/contest/1269
Portals,http://codeforces.com/contest/1271/problem/D,D,2100,Codeforces Round #608 (Div. 2),http://codeforces.com/contest/1271
Beingawesomeism,http://codeforces.com/contest/1281/problem/D,D,1800,Codeforces Round #607 (Div. 2),http://codeforces.com/contest/1281
Beautiful Sequence,http://codeforces.com/contest/1265/problem/D,D,1900,Codeforces Round #604 (Div. 2),http://codeforces.com/contest/1265
Secret Passwords,http://codeforces.com/contest/1263/problem/D,D,1500,Codeforces Round #603 (Div. 2),http://codeforces.com/contest/1263
Feeding Chicken,http://codeforces.com/contest/1255/problem/D,D,1700,Codeforces Round #601 (Div. 2),http://codeforces.com/contest/1255
Harmonious Graph,http://codeforces.com/contest/1253/problem/D,D,1700,Codeforces Round #600 (Div. 2),http://codeforces.com/contest/1253
0-1 MST,http://codeforces.com/contest/1243/problem/D,D,1900,Codeforces Round #599 (Div. 2),http://codeforces.com/contest/1243
Shichikuji and Power Grid,http://codeforces.com/contest/1245/problem/D,D,1900,Codeforces Round #597 (Div. 2),http://codeforces.com/contest/1245
The World Is Just a Programming Task (Easy Version),http://codeforces.com/contest/1248/problem/D1,D1,2000,Codeforces Round #594 (Div. 2),http://codeforces.com/contest/1248
The World Is Just a Programming Task (Hard Version),http://codeforces.com/contest/1248/problem/D2,D2,2500,Codeforces Round #594 (Div. 2),http://codeforces.com/contest/1248
Alice and the Doll,http://codeforces.com/contest/1236/problem/D,D,2300,Codeforces Round #593 (Div. 2),http://codeforces.com/contest/1236
Paint the Tree,http://codeforces.com/contest/1244/problem/D,D,1800,Codeforces Round #592 (Div. 2),http://codeforces.com/contest/1244
Complete Tripartite,http://codeforces.com/contest/1228/problem/D,D,1900,Codeforces Round #589 (Div. 2),http://codeforces.com/contest/1228
Marcin and Training Camp,http://codeforces.com/contest/1230/problem/D,D,1700,Codeforces Round #588 (Div. 2),http://codeforces.com/contest/1230
