problemName,problemLink,problemCode,problemDifficulty,contestName,contestLink
Omkar and Baseball,http://codeforces.com/contest/1372/problem/C,C,1500,Codeforces Round #655 (Div. 2),http://codeforces.com/contest/1372
A Cookie for You,http://codeforces.com/contest/1371/problem/C,C,1300,Codeforces Round #654 (Div. 2),http://codeforces.com/contest/1371
RationalLee,http://codeforces.com/contest/1369/problem/C,C,1400,Codeforces Round #652 (Div. 2),http://codeforces.com/contest/1369
Number Game,http://codeforces.com/contest/1370/problem/C,C,1400,Codeforces Round #651 (Div. 2),http://codeforces.com/contest/1370
Ehab and Prefix MEXs,http://codeforces.com/contest/1364/problem/C,C,1600,Codeforces Round #649 (Div. 2),http://codeforces.com/contest/1364
Rotation Matching,http://codeforces.com/contest/1365/problem/C,C,1400,Codeforces Round #648 (Div. 2),http://codeforces.com/contest/1365
Johnny and Another Rating Drop,http://codeforces.com/contest/1362/problem/C,C,1400,"Codeforces Round #647 (Div. 2) - Thanks, Algo Muse!",http://codeforces.com/contest/1362
Game On Leaves,http://codeforces.com/contest/1363/problem/C,C,1600,Codeforces Round #646 (Div. 2),http://codeforces.com/contest/1363
Celex Update,http://codeforces.com/contest/1358/problem/C,C,1600,Codeforces Round #645 (Div. 2),http://codeforces.com/contest/1358
Count Triangles,http://codeforces.com/contest/1355/problem/C,C,1800,Codeforces Round #643 (Div. 2),http://codeforces.com/contest/1355
Orac and LCM,http://codeforces.com/contest/1350/problem/C,C,1600,Codeforces Round #641 (Div. 2),http://codeforces.com/contest/1350
Hilbert's Hotel,http://codeforces.com/contest/1345/problem/C,C,1600,Codeforces Round #639 (Div. 2),http://codeforces.com/contest/1345
Phoenix and Distribution,http://codeforces.com/contest/1348/problem/C,C,1600,Codeforces Round #638 (Div. 2),http://codeforces.com/contest/1348
Nastya and Strange Generator,http://codeforces.com/contest/1341/problem/C,C,1500,"Codeforces Round #637 (Div. 2) - Thanks, Ivan Belonogov!",http://codeforces.com/contest/1341
Linova and Kingdom,http://codeforces.com/contest/1337/problem/C,C,1600,Codeforces Round #635 (Div. 2),http://codeforces.com/contest/1337
Powered Addition,http://codeforces.com/contest/1339/problem/C,C,1500,Codeforces Round #633 (Div. 2),http://codeforces.com/contest/1339
Eugene and an array,http://codeforces.com/contest/1333/problem/C,C,1700,Codeforces Round #632 (Div. 2),http://codeforces.com/contest/1333
Dreamoon Likes Coloring,http://codeforces.com/contest/1330/problem/C,C,1800,"Codeforces Round #631 (Div. 2) - Thanks, Denis aramis Shitov!",http://codeforces.com/contest/1330
K-Complete Word,http://codeforces.com/contest/1332/problem/C,C,1500,Codeforces Round #630 (Div. 2),http://codeforces.com/contest/1332
Ehab and Path-etic MEXs,http://codeforces.com/contest/1325/problem/C,C,1500,Codeforces Round #628 (Div. 2),http://codeforces.com/contest/1325
Skyscrapers (easy version),http://codeforces.com/contest/1313/problem/C1,C1,1500,Codeforces Round #622 (Div. 2),http://codeforces.com/contest/1313
Skyscrapers (hard version),http://codeforces.com/contest/1313/problem/C2,C2,1900,Codeforces Round #622 (Div. 2),http://codeforces.com/contest/1313
Air Conditioner,http://codeforces.com/contest/1304/problem/C,C,1500,Codeforces Round #620 (Div. 2),http://codeforces.com/contest/1304
Ayoub's function,http://codeforces.com/contest/1301/problem/C,C,1700,Codeforces Round #619 (Div. 2),http://codeforces.com/contest/1301
Anu Has a Function,http://codeforces.com/contest/1300/problem/C,C,1500,Codeforces Round #618 (Div. 2),http://codeforces.com/contest/1300
Mind Control,http://codeforces.com/contest/1291/problem/C,C,1600,Codeforces Round #616 (Div. 2),http://codeforces.com/contest/1291
NEKO's Maze Game,http://codeforces.com/contest/1293/problem/C,C,1400,Codeforces Round #614 (Div. 2),http://codeforces.com/contest/1293
Fadi and LCM,http://codeforces.com/contest/1285/problem/C,C,1400,Codeforces Round #613 (Div. 2),http://codeforces.com/contest/1285
Garland,http://codeforces.com/contest/1287/problem/C,C,1800,Codeforces Round #612 (Div. 2),http://codeforces.com/contest/1287
Petya and Exam,http://codeforces.com/contest/1282/problem/C,C,1800,Codeforces Round #610 (Div. 2),http://codeforces.com/contest/1282
Long Beautiful Integer,http://codeforces.com/contest/1269/problem/C,C,1700,Codeforces Round #609 (Div. 2),http://codeforces.com/contest/1269
Shawarma Tent,http://codeforces.com/contest/1271/problem/C,C,1300,Codeforces Round #608 (Div. 2),http://codeforces.com/contest/1271
