problemName,problemLink,problemCode,problemDifficulty,contestName,contestLink
Subtract or Divide,http://codeforces.com/contest/1451/problem/A,A,800,Codeforces Round #685 (Div. 2),http://codeforces.com/contest/1451
Buy the String,http://codeforces.com/contest/1440/problem/A,A,800,Codeforces Round #684 (Div. 2),http://codeforces.com/contest/1440
Specific Tastes of Andre,http://codeforces.com/contest/1438/problem/A,A,800,Codeforces Round #682 (Div. 2),http://codeforces.com/contest/1438
Reorder,http://codeforces.com/contest/1436/problem/A,A,800,Codeforces Round #678 (Div. 2),http://codeforces.com/contest/1436
XORwice,http://codeforces.com/contest/1421/problem/A,A,800,Codeforces Round #676 (Div. 2),http://codeforces.com/contest/1421
Fence,http://codeforces.com/contest/1422/problem/A,A,800,Codeforces Round #675 (Div. 2),http://codeforces.com/contest/1422
Copy-paste,http://codeforces.com/contest/1417/problem/A,A,800,Codeforces Round #673 (Div. 2),http://codeforces.com/contest/1417
Cubes Sorting,http://codeforces.com/contest/1420/problem/A,A,900,Codeforces Round #672 (Div. 2),http://codeforces.com/contest/1420
Digit Game,http://codeforces.com/contest/1419/problem/A,A,900,Codeforces Round #671 (Div. 2),http://codeforces.com/contest/1419
Subset Mex,http://codeforces.com/contest/1406/problem/A,A,900,Codeforces Round #670 (Div. 2),http://codeforces.com/contest/1406
Ahahahahahahahaha,http://codeforces.com/contest/1407/problem/A,A,1100,Codeforces Round #669 (Div. 2),http://codeforces.com/contest/1407
Permutation Forgery,http://codeforces.com/contest/1405/problem/A,A,800,Codeforces Round #668 (Div. 2),http://codeforces.com/contest/1405
Juggling Letters,http://codeforces.com/contest/1397/problem/A,A,800,Codeforces Round #666 (Div. 2),http://codeforces.com/contest/1397
Distance and Axis,http://codeforces.com/contest/1401/problem/A,A,900,Codeforces Round #665 (Div. 2),http://codeforces.com/contest/1401
Boboniu Likes to Color Balls,http://codeforces.com/contest/1395/problem/A,A,1000,Codeforces Round #664 (Div. 2),http://codeforces.com/contest/1395
Suborrays,http://codeforces.com/contest/1391/problem/A,A,800,Codeforces Round #663 (Div. 2),http://codeforces.com/contest/1391
"Rainbow Dash, Fluttershy and Chess Coloring",http://codeforces.com/contest/1393/problem/A,A,800,Codeforces Round #662 (Div. 2),http://codeforces.com/contest/1393
Captain Flint and Crew Recruitment,http://codeforces.com/contest/1388/problem/A,A,800,Codeforces Round #660 (Div. 2),http://codeforces.com/contest/1388
Common Prefixes,http://codeforces.com/contest/1384/problem/A,A,1200,Codeforces Round #659 (Div. 2),http://codeforces.com/contest/1384
Common Subsequence,http://codeforces.com/contest/1382/problem/A,A,800,Codeforces Round #658 (Div. 2),http://codeforces.com/contest/1382
Acacius and String,http://codeforces.com/contest/1379/problem/A,A,1500,Codeforces Round #657 (Div. 2),http://codeforces.com/contest/1379
Omkar and Completion,http://codeforces.com/contest/1372/problem/A,A,800,Codeforces Round #655 (Div. 2),http://codeforces.com/contest/1372
Magical Sticks,http://codeforces.com/contest/1371/problem/A,A,800,Codeforces Round #654 (Div. 2),http://codeforces.com/contest/1371
FashionabLee,http://codeforces.com/contest/1369/problem/A,A,800,Codeforces Round #652 (Div. 2),http://codeforces.com/contest/1369
Maximum GCD,http://codeforces.com/contest/1370/problem/A,A,800,Codeforces Round #651 (Div. 2),http://codeforces.com/contest/1370
XXXXX,http://codeforces.com/contest/1364/problem/A,A,1200,Codeforces Round #649 (Div. 2),http://codeforces.com/contest/1364
Matrix Game,http://codeforces.com/contest/1365/problem/A,A,1100,Codeforces Round #648 (Div. 2),http://codeforces.com/contest/1365
Johnny and Ancient Computer,http://codeforces.com/contest/1362/problem/A,A,1000,"Codeforces Round #647 (Div. 2) - Thanks, Algo Muse!",http://codeforces.com/contest/1362
Odd Selection,http://codeforces.com/contest/1363/problem/A,A,1200,Codeforces Round #646 (Div. 2),http://codeforces.com/contest/1363
Park Lighting,http://codeforces.com/contest/1358/problem/A,A,800,Codeforces Round #645 (Div. 2),http://codeforces.com/contest/1358
Sequence with Digits,http://codeforces.com/contest/1355/problem/A,A,1200,Codeforces Round #643 (Div. 2),http://codeforces.com/contest/1355
Orac and Factors,http://codeforces.com/contest/1350/problem/A,A,900,Codeforces Round #641 (Div. 2),http://codeforces.com/contest/1350
Puzzle Pieces,http://codeforces.com/contest/1345/problem/A,A,800,Codeforces Round #639 (Div. 2),http://codeforces.com/contest/1345
Phoenix and Balance,http://codeforces.com/contest/1348/problem/A,A,800,Codeforces Round #638 (Div. 2),http://codeforces.com/contest/1348
Nastya and Rice,http://codeforces.com/contest/1341/problem/A,A,900,"Codeforces Round #637 (Div. 2) - Thanks, Ivan Belonogov!",http://codeforces.com/contest/1341
Ichihime and Triangle,http://codeforces.com/contest/1337/problem/A,A,800,Codeforces Round #635 (Div. 2),http://codeforces.com/contest/1337
Filling Diamonds,http://codeforces.com/contest/1339/problem/A,A,900,Codeforces Round #633 (Div. 2),http://codeforces.com/contest/1339
Little Artem,http://codeforces.com/contest/1333/problem/A,A,1000,Codeforces Round #632 (Div. 2),http://codeforces.com/contest/1333
Dreamoon and Ranking Collection,http://codeforces.com/contest/1330/problem/A,A,900,"Codeforces Round #631 (Div. 2) - Thanks, Denis aramis Shitov!",http://codeforces.com/contest/1330
